objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Data Research Project.pdf,,,Data Research Project: The Impact of Financial Liberalization on Banking Crisis,Karen Stacey Blanco Mendoza,2023-03-12,PDF of a Research Paper on the impact that financial liberalization has on banking crises,research;banking;financial liberalization;IR 329,"Los Angeles, California",,,"Word, University of Southern California",,PDF,PDF,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Final Paper.docx,,,The Weakening of China Throughout the Years and the Roadblock Towards Democracy,Karen Stacey Blanco Mendoza,2022-12-09,Word Document of a Final Paper on the weakening of China over the course of time,research;China;Democracy;Political Science,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IR407 Research Paper.docx,,,Growing Underground Christian Churches' Influence on China,Karen Stacey Blanco Mendoza,2023-12-09,Word Document of a Research Paper based on underground Christian churches in China,research;China;Religion;Christianity;IR 407,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IR468 Research Paper.docx,,,The Evolution of the European Central Bank’s Authorities Through Neo-Functionalism,Karen Stacey Blanco Mendoza,2023-12-07,Word Document of a Research Paper based on the evolution of European Central Banks through the lens of Neo-Functionalism,research;Europe;Central Banks;IR 468,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,IR310_Research Paper.docx,,,IR310,Karen Stacey Blanco Mendoza,2022-04-21,Word Document based on the relationship between the United States and Mexico when it comes to illegal drug and firearm trafficking.,research;Mexico;United States;drug trafficking;firearm trafficking;international relations,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,IR212 Paper.docx,,,,Karen Stacey Blanco Mendoza,2022-04-07,Word Document based on the application of social science approaches to  understand historical events  to generalize future events when it comes to human nature and decision making capabilities.,research;social science approaches;international relations;history,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,Term Paper.docx,,,Term Paper - Topic #3,Karen Stacey Blanco Mendoza,2021-04-28,Word Document based on center of the world ideology within China and how reformation led by students has impact this idea within China's cultural and how they interact with other countries and cultures.,research;China;international relations;global citizenship,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,IR211_Research Proposal_Blanco.docx,,,Research Proposal: Trade Agreements Between the West and the Trans-Pacific Global Areas,Karen Stacey Blanco Mendoza,2021-10-17,Word Document based on research to be conducted that looks at trade policies between the Western and Eastern hemispheres to determine whether adoption of Western trade policies by the Eastern hemisphere would impact their global status.,research;Western Hemisphere;Eastern Hemisphere;trade policies,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,Paper Topic II.docx,,,Paper Topic #2,Karen Stacey Blanco Mendoza,2021-04-29,Word Document based on how approaches can be used to see how their progress can be reflected in foreign policy situations.,research;human behavior;foreign policy,"Greensboro, North Carolina",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,Annotated Bibliography.docx,,,Annotated Bibliography,Karen Stacey Blanco Mendoza,2021-03-25,Word Document that is an annotated bibliography for research surrounding multilateral trade in comparison to unilateral trade.,annotated bibliography;trade policies;multilateral trade;comparison,"Greensboro, North Carolina",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
